,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2021-03-20,9,9,18,8.235178630799055,0.4575099239332808
2021-03-21,2,6,8,5.760480196680874,0.7200600245851092
2021-03-22,4,6,10,5.254799045622349,0.5254799045622349
2021-03-23,3,15,18,10.907890420872718,0.6059939122707065
2021-03-24,10,9,19,8.87672904273495,0.4671962654071027
2021-03-25,7,21,28,16.722953082062304,0.597248324359368
2021-03-26,3,9,12,7.735652312636375,0.644637692719698
2021-03-27,18,10,28,9.285093424725346,0.33161047945447664
2021-03-28,5,6,11,5.52073329128325,0.5018848446621136
2021-03-29,3,11,14,9.455959750339389,0.6754256964528135
2021-03-30,7,9,16,7.5263123251497746,0.4703945203218609
2021-03-31,3,6,9,6.108971387147903,0.6787745985719893
2021-04-01,1,30,31,25.040916722267866,0.8077715071699312
2021-04-02,5,8,13,6.845250270329416,0.5265577131022627
2021-04-03,8,8,16,8.0570926645305,0.5035682915331563
2021-04-04,6,2,8,2.1320548867806792,0.2665068608475849
2021-04-05,5,17,22,14.975230786949396,0.6806923084976998
2021-04-06,9,19,28,18.288940066471696,0.6531764309454177
2021-04-07,2,10,12,8.62828191369772,0.7190234928081433
2021-04-08,3,7,10,5.480535058770329,0.5480535058770328
2021-04-09,4,8,12,7.850379843264818,0.6541983202720681
2021-04-10,6,17,23,15.858663413207978,0.689507104922086
2021-04-11,3,12,15,10.196434183977544,0.6797622789318363
2021-04-12,2,11,13,9.529084829613566,0.7330065253548897
2021-04-13,7,10,17,9.833589238114655,0.5784464257714503
2021-04-14,6,11,17,10.089757682289928,0.5935151577817604
2021-04-15,6,5,11,4.498341274447739,0.4089401158588854
2021-04-16,9,12,21,12.463221894577146,0.5934867568846259
2021-04-17,8,7,15,6.346731320954859,0.4231154213969906
2021-04-18,8,5,13,5.444448910653591,0.41880376235796857
2021-04-19,7,4,11,4.281647939234972,0.38924072174863383
2021-04-20,7,5,12,5.060825236141682,0.42173543634514016
2021-04-21,10,6,16,6.422775402665138,0.40142346266657114
2021-04-22,5,11,16,10.13457603380084,0.6334110021125525
2021-04-23,10,10,20,9.802916650194675,0.49014583250973376
2021-04-24,7,6,13,5.377049060538411,0.4136191585029547
2021-04-25,2,5,7,4.11795050650835,0.5882786437869072
2021-04-26,4,12,16,9.941363977268338,0.6213352485792711
2021-04-27,3,27,30,24.227942891418934,0.8075980963806312
2021-04-28,4,10,14,9.253770906478167,0.660983636177012
2021-04-29,3,15,18,13.385758984833956,0.7436532769352198
2021-04-30,9,9,18,7.947776990011334,0.4415431661117408
2021-05-01,7,7,14,6.548064582049847,0.46771889871784617
2021-05-02,6,6,12,5.773899802938104,0.4811583169115086
2021-05-03,10,17,27,17.163959451019764,0.6357022018896209
2021-05-04,2,5,7,4.116354454308748,0.5880506363298211
2021-05-05,2,8,10,6.791362559422851,0.6791362559422851
2021-05-06,6,6,12,6.667365191038698,0.5556137659198915
2021-05-07,1,19,20,16.54599541425705,0.8272997707128524
2021-05-08,6,9,15,8.061580645851791,0.5374387097234528
2021-05-09,2,6,8,5.041252073133364,0.6301565091416705
2021-05-10,3,6,9,5.76134546706453,0.6401494963405033
2021-05-11,0,15,15,11.64794248342514,0.7765294988950093
2021-05-12,3,11,14,8.894414566457272,0.6353153261755194
2021-05-13,7,15,22,13.254950652830303,0.6024977569468319
2021-05-14,12,15,27,12.37986187892966,0.4585134029233207
2021-05-15,16,10,26,9.439169322606176,0.3630449739463914
2021-05-16,4,6,10,5.529143802821636,0.5529143802821637
2021-05-17,4,12,16,8.92551422584802,0.5578446391155012
2021-05-18,3,14,17,11.521258840337396,0.6777211082551409
2021-05-19,9,13,22,10.979650924913585,0.4990750420415266
2021-05-20,5,20,25,17.0635207304731,0.682540829218924
2021-05-21,8,14,22,11.731718665920198,0.533259939360009
2021-05-22,4,3,7,2.7123611625283957,0.3874801660754851
2021-05-23,6,3,9,2.9197489703074098,0.3244165522563789
2021-05-24,2,17,19,14.287527980282903,0.7519751568569949
2021-05-25,274,15,289,33.354681853204966,0.11541412405953275
2021-05-26,36,16,52,16.019410197623074,0.30806558072352064
2021-05-27,4,16,20,13.554235003888607,0.6777117501944303
2021-05-28,8,9,17,8.597713638097048,0.5057478610645322
2021-05-29,6,6,12,5.366803682409227,0.4472336402007689
2021-05-30,5,4,9,4.070134529843926,0.4522371699826585
2021-05-31,5,3,8,3.183217874728143,0.3979022343410179
2021-06-01,4,6,10,4.95469711208716,0.495469711208716
2021-06-02,2,10,12,8.85880483360961,0.7382337361341342
2021-06-03,0,9,9,7.494108617305756,0.8326787352561951
2021-06-04,1,8,9,6.582563329022378,0.7313959254469309
2021-06-05,4,4,8,3.7856045197695494,0.47320056497119367
2021-06-06,5,5,10,4.34926834423095,0.434926834423095
2021-06-07,2,9,11,8.029500514268875,0.7299545922062614
2021-06-08,6,5,11,4.415450959466398,0.4014046326787634
2021-06-09,5,6,11,5.622948036529124,0.5111770942299203
2021-06-10,3,9,12,8.055480990558863,0.6712900825465719
2021-06-11,3,9,12,8.278197851032019,0.6898498209193349
2021-06-12,10,1,11,3.272310526575893,0.297482775143263
