,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2020-07-06,1,6,7,4.951152117922902,0.7073074454175574
2020-07-07,4,2,6,2.5485565355047584,0.4247594225841264
2020-07-08,3,4,7,4.152678690850735,0.5932398129786763
2020-07-09,3,11,14,9.414714250713587,0.6724795893366847
2020-07-10,5,9,14,7.573157291859388,0.5409398065613849
2020-07-11,4,5,9,5.02721518650651,0.55857946516739
2020-07-12,2,2,4,1.7904720352962613,0.4476180088240653
2020-07-13,3,9,12,7.838387365452945,0.6531989471210787
2020-07-14,5,6,11,5.649598059244454,0.5135998235676776
2020-07-15,6,5,11,4.720749277621508,0.4291590252383189
2020-07-16,21,13,34,15.51689741294831,0.4563793356749503
2020-07-17,17,7,24,9.832699870690703,0.40969582794544596
2020-07-18,7,1,8,1.9362093433737755,0.24202616792172194
2020-07-19,4,2,6,2.4476312026381493,0.40793853377302486
2020-07-20,1,1,2,0.8817442655563354,0.4408721327781677
2020-07-21,4,6,10,5.244715661276132,0.5244715661276131
2020-07-22,0,5,5,3.774227738380432,0.7548455476760865
2020-07-23,8,6,14,5.757815778255463,0.4112725555896759
2020-07-24,11,6,17,5.801315797492862,0.34125387044075656
2020-07-25,9,6,15,5.3126808339729905,0.354178722264866
2020-07-26,6,2,8,2.1178992949426174,0.2647374118678272
2020-07-27,5,2,7,1.6399447405710816,0.2342778200815831
2020-07-28,5,2,7,2.0780340610072017,0.29686200871531454
2020-07-29,4,2,6,1.8531303242780268,0.3088550540463378
2020-07-30,4,7,11,6.478977277874947,0.5889979343522679
2020-07-31,4,2,6,2.386179296299815,0.3976965493833025
2020-08-01,5,3,8,3.48996926471591,0.43624615808948874
2020-08-02,4,2,6,2.600868409499526,0.433478068249921
2020-08-03,3,9,12,7.718695230782032,0.6432246025651693
2020-08-04,4,10,14,9.225515943951905,0.6589654245679932
2020-08-05,3,8,11,7.768026292324066,0.7061842083930969
2020-08-06,1,2,3,1.7220443338155746,0.5740147779385248
2020-08-07,0,11,11,8.483304738998413,0.7712095217271284
2020-08-08,3,4,7,3.122746336273849,0.4461066194676927
2020-08-09,3,3,6,3.380105096846819,0.5633508494744698
