,negative_sum,positive_sum,total_sum,sentiment_score,average_score
2021-02-25,4,8,12,6.758668811060488,0.5632224009217074
2021-02-26,4,3,7,2.759721675887704,0.3942459536982434
2021-02-27,0,5,5,4.147786319255829,0.8295572638511658
2021-02-28,9,8,17,7.55860750656575,0.4446239709744559
2021-03-01,3,4,7,3.8323922995477915,0.547484614221113
2021-03-02,3,1,4,1.3087503407150507,0.3271875851787627
2021-03-03,0,1,1,0.8970111608505249,0.8970111608505249
2021-03-04,3,0,3,0.075465502217412,0.025155167405803997
2021-03-05,5,9,14,8.766780074685812,0.6261985767632723
2021-03-06,2,4,6,3.92925488576293,0.6548758142938217
2021-03-07,1,3,4,2.252363263629377,0.5630908159073442
2021-03-08,2,6,8,5.303570067510009,0.6629462584387511
2021-03-09,1,3,4,2.658568352460861,0.6646420881152153
2021-03-10,1,3,4,2.5312353102490306,0.6328088275622576
2021-03-11,0,0,0,0.0,0.5
2021-03-12,1,7,8,5.623119965195656,0.702889995649457
2021-03-13,1,0,1,0.07772088795900345,0.07772088795900345
2021-03-14,2,1,3,1.3037534840404987,0.43458449468016624
2021-03-15,3,0,3,0.4838353260420263,0.16127844201400876
2021-03-16,1,0,1,0.003927932120859623,0.003927932120859623
2021-03-17,1,5,6,4.227815829217434,0.704635971536239
2021-03-18,3,3,6,2.296354554593563,0.3827257590989272
2021-03-19,1,0,1,0.18732616305351257,0.18732616305351257
2021-03-20,3,4,7,3.5564413592219353,0.5080630513174194
2021-03-21,1,1,2,0.9917687214910984,0.4958843607455492
2021-03-22,2,5,7,4.238416410982609,0.6054880587118012
2021-03-23,2,5,7,4.479010684415698,0.6398586692022425
2021-03-24,1,6,7,5.198507120832801,0.7426438744046858
2021-03-25,4,2,6,2.252056217752397,0.37534270295873284
2021-03-26,1,2,3,1.7148553021252155,0.5716184340417385
2021-03-27,4,4,8,3.378165745642036,0.4222707182052545
2021-03-28,0,7,7,5.556783735752106,0.7938262479645866
2021-03-29,1,1,2,1.00398900359869,0.501994501799345
2021-03-30,0,1,1,0.8240941166877747,0.8240941166877747
2021-03-31,3,3,6,2.727984072640538,0.4546640121067564
2021-04-01,0,4,4,3.272481918334961,0.8181204795837402
2021-04-02,1,1,2,1.1794481426477432,0.5897240713238716
2021-04-03,2,4,6,3.5020167902112007,0.5836694650352001
2021-04-04,4,3,7,2.8032873133197427,0.40046961618853466
2021-04-05,3,8,11,6.183645077049732,0.5621495524590666
2021-04-06,0,6,6,4.304030179977417,0.7173383633295695
2021-04-07,4,5,9,5.4655632972717285,0.6072848108079698
2021-04-08,3,1,4,0.9805969512090087,0.24514923780225217
2021-04-09,4,6,10,5.093403469072655,0.5093403469072655
2021-04-10,4,9,13,6.882669052109122,0.529436080931471
2021-04-11,1,67,68,53.39088053628802,0.7851600078865886
2021-04-12,1,9,10,7.506869301199913,0.7506869301199913
2021-04-13,8,44,52,31.875465482473373,0.6129897208167956
2021-04-14,1,2,3,1.6188563145697117,0.5396187715232372
2021-04-15,1,2,3,1.6034937906078994,0.5344979302026331
2021-04-16,1,5,6,4.146015096921474,0.691002516153579
2021-04-17,0,3,3,2.343700110912323,0.7812333703041077
2021-04-18,1,1,2,0.7817888706922531,0.39089443534612656
2021-04-19,2,10,12,7.9494074285030365,0.6624506190419197
2021-04-20,1,3,4,2.518327604047954,0.6295819010119885
2021-04-21,2,4,6,3.7145772874355316,0.6190962145725886
2021-04-22,1,2,3,1.7258252389729023,0.5752750796576341
2021-04-23,3,18,21,16.052579006180167,0.7644085241038174
2021-04-24,3,3,6,3.036050021648407,0.5060083369414011
2021-04-25,0,2,2,1.6405105590820312,0.8202552795410156
2021-04-26,1,4,5,3.5981906317174435,0.7196381263434887
2021-04-27,1,28,29,24.67887943983078,0.8509958427527855
2021-04-28,2,4,6,3.581594865769148,0.5969324776281913
2021-04-29,2,5,7,4.670770511031151,0.6672529301473072
2021-04-30,2,4,6,4.036550804972649,0.6727584674954414
2021-05-01,3,3,6,2.560092670843005,0.42668211180716753
2021-05-02,3,1,4,1.9445605129003525,0.4861401282250881
2021-05-03,12,28,40,22.982127090450376,0.5745531772612594
2021-05-04,6,7,13,7.044626604765654,0.5418943542127426
2021-05-05,3,5,8,4.393082767724991,0.5491353459656239
2021-05-06,2,5,7,4.657068036496639,0.6652954337852341
2021-05-07,1,5,6,4.352242909371853,0.7253738182286421
2021-05-08,1,1,2,1.0604298114776611,0.5302149057388306
2021-05-09,0,3,3,2.2119961977005005,0.7373320659001669
2021-05-10,2,4,6,3.617745795752853,0.6029576326254755
2021-05-11,1,4,5,3.3150007650256157,0.6630001530051232
2021-05-12,3,2,5,2.010495367459953,0.4020990734919906
2021-05-13,1,3,4,1.9822123646736145,0.4955530911684036
2021-05-14,10,5,15,6.1939114117994905,0.41292742745329936
2021-05-15,3,2,5,2.024942319840193,0.40498846396803856
2021-05-16,2,3,5,2.9436056688427925,0.5887211337685585
2021-05-17,5,2,7,3.0221093893051147,0.43172991275787354
2021-05-18,12,3,15,6.525418221950531,0.43502788146336874
2021-05-19,2,3,5,2.2209828086197376,0.4441965617239475
2021-05-20,2,2,4,1.8177952468395233,0.45444881170988083
